2024-09-06 13:28:05,093 - INFO - Starting file categorization for folder: C:\Users\Abylaikhan Bari\Downloads\TestTask
2024-09-06 13:28:05,094 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\README.txt, Modified time: 2024-07-19 15:23:00
2024-09-06 13:28:05,094 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\child.txt, Modified time: 2024-07-18 15:14:52
2024-09-06 13:28:05,095 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\%\Screenshot 2024-07-19.152529.png, Modified time: 2024-07-19 15:26:42
2024-09-06 13:28:05,095 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\%\--\p. - Copy.png, Modified time: 2024-07-19 15:26:42
2024-09-06 13:28:05,095 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\%\--\p..png, Modified time: 2024-07-19 15:26:42
2024-09-06 13:28:05,096 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\2ch\LICENSE.chromedriver, Modified time: 2024-07-19 15:23:34
2024-09-06 13:28:05,096 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\2ch\���⮩.pdf, Modified time: 2024-07-02 17:01:26
2024-09-06 13:28:05,096 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\3ch\_\__\New Microsoft Access Database.accdb, Modified time: 2024-07-19 15:24:42
2024-09-06 13:28:05,096 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\3ch\_\__\New Microsoft Word Document.docx, Modified time: 2024-07-19 15:24:54
2024-09-06 13:28:05,097 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\3p\bmp, Modified time: 2024-07-19 15:25:04
2024-09-06 13:28:05,097 - INFO - Categorization complete. Categorized 7 file types.
2024-09-06 13:29:05,357 - INFO - Starting file categorization for folder: C:\Users\Abylaikhan Bari\Downloads\TestTask
